"Year","GEO","Industry","VA_EXP","GDP"
2013,"Canada","Government health services [GS620]",744545,1902247
2013,"Canada","Other federal government services [GS911]",1218083,1902247
2013,"Canada","Other provincial and territorial government services [GS912]",730987,1902247
2013,"Canada","Other municipal government services [GS913]",615856,1902247
2013,"Canada","Other aboriginal government services [GS914]",531,1902247
2013,"Manitoba","Total industries",11162256,62386
2013,"Manitoba","Crop and animal production [BS11A]",1763449,62386
2013,"Manitoba","Forestry and logging [BS113]",155,62386
2013,"Manitoba","Fishing, hunting and trapping [BS114]",4634,62386
2013,"Manitoba","Mining, quarrying, and oil and gas extraction [BS210]",988482,62386
2013,"Manitoba","Utilities [BS220]",334181,62386
2013,"Manitoba","Other activities of the construction industry [BS23E]",6813,62386
2013,"Manitoba","Manufacturing [BS3A0]",5186218,62386
2013,"Manitoba","Wholesale trade [BS410]",759474,62386
2013,"Manitoba","Retail trade [BS4A0]",9426,62386
2013,"Manitoba","Transportation and warehousing [BS4B0]",1235370,62386
2013,"Manitoba","Information and cultural industries [BS510]",82722,62386
2013,"Manitoba","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",219887,62386
2013,"Manitoba","Professional, scientific and technical services [BS540]",240277,62386
2013,"Manitoba","Administrative and support, waste management and remediation services [BS560]",76231,62386
2013,"Manitoba","Educational services [BS610]",5313,62386
2013,"Manitoba","Health care and social assistance [BS620]",6,62386
2013,"Manitoba","Arts, entertainment and recreation [BS710]",38070,62386
2013,"Manitoba","Accommodation and food services [BS720]",108350,62386
2013,"Manitoba","Other services (except public administration) [BS810]",3116,62386
2013,"Manitoba","Non-profit institutions serving households [NP000]",7357,62386
2013,"Manitoba","Government education services [GS610]",28420,62386
2013,"Manitoba","Government health services [GS620]",14829,62386
2013,"Manitoba","Other federal government services [GS911]",22749,62386
2013,"Manitoba","Other provincial and territorial government services [GS912]",18110,62386
2013,"Manitoba","Other municipal government services [GS913]",8398,62386
2013,"Manitoba","Other aboriginal government services [GS914]",219,62386
2013,"New Brunswick","Total industries",5702684,31891
2013,"New Brunswick","Crop and animal production [BS11A]",120674,31891
2013,"New Brunswick","Forestry and logging [BS113]",19468,31891
2013,"New Brunswick","Fishing, hunting and trapping [BS114]",77906,31891
2013,"New Brunswick","Support activities for agriculture and forestry [BS115]",296,31891
2013,"New Brunswick","Mining, quarrying, and oil and gas extraction [BS210]",278808,31891
2013,"New Brunswick","Utilities [BS220]",50829,31891
2013,"New Brunswick","Other activities of the construction industry [BS23E]",305,31891
2013,"New Brunswick","Manufacturing [BS3A0]",3558031,31891
2013,"New Brunswick","Wholesale trade [BS410]",251836,31891
2013,"New Brunswick","Retail trade [BS4A0]",6373,31891
2013,"New Brunswick","Transportation and warehousing [BS4B0]",777618,31891
2013,"New Brunswick","Information and cultural industries [BS510]",48460,31891
2013,"New Brunswick","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",81544,31891
2013,"New Brunswick","Professional, scientific and technical services [BS540]",180359,31891
2013,"New Brunswick","Administrative and support, waste management and remediation services [BS560]",75053,31891
2013,"New Brunswick","Educational services [BS610]",6510,31891
2013,"New Brunswick","Health care and social assistance [BS620]",5,31891
2013,"New Brunswick","Arts, entertainment and recreation [BS710]",15640,31891
2013,"New Brunswick","Accommodation and food services [BS720]",77825,31891
2013,"New Brunswick","Other services (except public administration) [BS810]",1753,31891
2013,"New Brunswick","Non-profit institutions serving households [NP000]",3484,31891
2013,"New Brunswick","Government education services [GS610]",25400,31891
2013,"New Brunswick","Government health services [GS620]",14651,31891
2013,"New Brunswick","Other federal government services [GS911]",9562,31891
2013,"New Brunswick","Other provincial and territorial government services [GS912]",8454,31891
2013,"New Brunswick","Other municipal government services [GS913]",11847,31891
2013,"Newfoundland and Labrador","Total industries",9596018,34491
2013,"Newfoundland and Labrador","Crop and animal production [BS11A]",29030,34491
2013,"Newfoundland and Labrador","Forestry and logging [BS113]",68,34491
2013,"Newfoundland and Labrador","Fishing, hunting and trapping [BS114]",37787,34491
2013,"Newfoundland and Labrador","Mining, quarrying, and oil and gas extraction [BS210]",7870828,34491
2013,"Newfoundland and Labrador","Utilities [BS220]",13,34491
2013,"Newfoundland and Labrador","Other activities of the construction industry [BS23E]",1367,34491
2013,"Newfoundland and Labrador","Manufacturing [BS3A0]",842124,34491
2013,"Newfoundland and Labrador","Wholesale trade [BS410]",117001,34491
2013,"Newfoundland and Labrador","Retail trade [BS4A0]",1277,34491
2013,"Newfoundland and Labrador","Transportation and warehousing [BS4B0]",214698,34491
2013,"Newfoundland and Labrador","Information and cultural industries [BS510]",239589,34491
2013,"Newfoundland and Labrador","Finance, insurance, real estate, rental and leasing and holding companies [BS5B0]",45596,34491
